Type,Latency
S 11,206
S 31,782
S 11,4507
S 31,5218
S 11,8808
S 31,9296
S 11,13109
S 31,14127
S 11,17410
S 31,18039
S 11,21711
S 31,22404
S 11,26012
S 31,26589
S 11,30313
S 31,31032
S 11,34614
S 31,35370
S 11,38915
S 31,39732
S 11,43216
S 31,43926
S 11,47517
S 31,48149
S 11,51818
S 31,52484
S 11,56119
S 31,56703
S 11,60420
S 31,61204
S 11,64721
S 31,65293
S 11,69022
S 31,69718
S 11,73323
S 31,73938
S 11,77624
S 31,78275
S 11,81925
S 31,82567
S 11,86226
S 31,86802
S 11,90527
S 31,91494
S 11,94828
S 31,95494
S 11,99129
S 31,99700
S 11,103430
S 31,104184
S 11,107731
S 31,108278
S 11,112032
S 31,112676
S 11,116333
S 31,117102
S 11,120634
S 31,121273
S 11,124935
S 31,125942
S 11,129236
S 31,129864
S 11,133537
S 31,134171
S 11,137838
S 31,138377
S 11,142139
S 31,142696
S 11,146440
S 31,147008
S 11,150741
S 31,151398
S 11,155042
S 31,155749
S 11,159343
S 31,160056
S 11,163644
S 31,164524
S 11,167945
S 31,168614
S 11,172246
S 31,172844
S 11,176547
S 31,177118
S 11,180848
S 31,181527
S 11,185149
S 31,185956
S 11,189450
S 31,190226
S 11,193751
S 31,194337
S 11,198052
S 31,198761
S 11,202353
S 31,202905
S 11,206654
S 31,207491
S 11,210955
S 31,211600
S 11,215256
S 31,215915
S 11,219557
S 31,220205
S 11,223858
S 31,224547
S 11,228159
S 31,228753
S 11,232460
S 31,233345
S 11,236761
S 31,237384
S 11,241062
S 31,241764
S 11,245363
S 31,245870
S 11,249664
S 31,250216
S 11,253965
S 31,254575
S 11,258266
S 31,258924
S 11,262567
S 31,263153
S 11,266868
S 31,267542
S 11,271169
S 31,271869
S 11,275470
S 31,276615
S 11,279771
S 31,280210
S 11,284072
S 31,284546
S 11,288373
S 31,289132
S 11,292674
S 31,293369
S 11,296975
S 31,297479
S 11,301276
S 31,301968
S 11,305577
S 31,306232
S 11,309878
S 31,310593
S 11,314179
S 31,314673
S 11,318480
S 11,322781
S 31,323499
S 11,327082
S 31,327595
S 11,331383
S 31,331945
S 11,335684
S 31,336223
S 11,339985
S 31,340596
S 11,344286
S 31,344892
S 11,348587
S 31,349180
S 11,352888
S 31,353495
S 11,357189
S 31,357874
S 11,361490
S 31,362254
S 11,365791
S 31,366503
S 11,370092
S 31,370771
S 11,374393
S 31,375057
S 11,378694
S 31,380290
S 11,382995
S 31,383716
S 11,387296
S 31,388849
S 11,391597
S 31,392506
