Type,Latency
S 11,206
S 31,861
S 11,4507
S 31,5176
S 11,8808
S 31,9370
S 11,13109
S 31,13834
S 11,17410
S 11,21711
S 31,22491
S 11,26012
S 31,26687
S 11,30313
S 31,31187
S 11,34614
S 31,35391
S 11,38915
S 31,39856
S 11,43216
S 31,43906
S 11,47517
S 31,48448
S 11,51818
S 31,52738
S 11,56119
S 31,56892
S 11,60420
S 31,61062
S 11,64721
S 31,65735
S 11,69022
S 31,69864
S 31,73260
S 11,73323
S 11,77624
S 11,81925
S 31,82648
S 11,86226
S 31,86975
S 11,90527
S 31,91240
S 11,94828
S 31,95491
S 11,99129
S 31,99776
S 11,103430
S 31,104099
S 11,107731
S 42,111610
S 11,112032
S 31,112808
S 11,116333
S 31,116955
S 11,120634
S 31,121328
S 11,124935
S 31,125569
S 11,129236
S 31,129903
S 11,133537
S 31,134179
S 11,137838
S 31,138550
S 11,142139
S 31,142975
S 11,146440
S 31,146921
S 11,150741
S 31,151338
S 11,155042
S 31,155872
S 11,159343
S 31,160030
S 11,163644
S 31,164512
S 11,167945
S 31,168647
S 11,172246
S 31,172922
S 11,176547
S 31,177345
S 11,180848
S 31,181667
S 11,185149
S 31,185835
S 11,189450
S 31,190084
S 11,193751
S 31,194375
S 11,198052
S 31,198699
S 11,202353
S 31,202962
S 11,206654
S 31,207373
S 11,210955
S 31,211643
S 11,215256
S 31,215872
S 11,219557
S 31,220196
S 11,223858
S 31,224611
S 11,228159
S 31,228860
S 11,232460
S 31,234020
S 11,236761
S 31,237344
S 11,241062
S 31,241637
S 11,245363
S 31,246000
S 11,249664
S 31,250371
S 11,253965
S 31,254529
S 11,258266
S 31,258839
S 11,262567
S 31,263025
S 11,266868
S 31,267427
S 11,271169
S 31,271875
S 11,275470
S 31,276088
S 11,279771
S 31,280418
S 11,284072
S 31,284867
S 11,288373
S 31,288978
S 11,292674
S 31,293127
S 11,296975
S 31,297572
S 11,301276
S 31,301729
S 11,305577
S 31,306250
S 11,309878
S 31,310347
S 11,314179
S 31,314928
S 11,318480
S 31,319111
S 11,322781
S 31,323519
S 11,327082
S 31,328013
