Type,Latency
S 22,206
S 42,1533
S 22,4507
S 42,5771
S 22,8808
S 42,9598
S 22,13109
S 42,13511
S 22,17410
S 42,18593
S 22,21711
S 42,22608
S 22,26012
S 22,30313
S 22,34614
S 42,35389
S 22,38915
S 42,39447
S 22,43216
S 42,44139
S 22,47517
S 22,51818
S 42,52875
S 22,56119
S 42,56844
S 22,60420
S 42,61341
S 22,64721
S 42,65670
S 22,69022
S 42,69891
S 22,73323
S 42,74263
S 22,77624
S 42,78429
S 22,81925
S 42,82764
S 22,86226
S 42,87340
S 42,90408
S 22,90527
S 22,94828
S 42,95645
S 22,99129
S 42,99841
S 22,103430
S 42,104883
S 22,107731
S 42,108572
S 22,112032
S 22,116333
S 22,120634
S 42,121601
S 22,124935
S 42,125666
S 22,129236
S 42,131128
S 22,133537
S 42,134397
S 22,137838
S 42,138590
S 22,142139
S 42,142650
S 22,146440
S 42,147314
S 22,150741
S 42,151470
S 22,155042
S 42,155613
S 22,159343
S 42,160562
S 22,163644
S 42,164361
S 22,167945
S 42,168754
S 22,172246
S 42,173326
S 22,176547
S 42,177231
S 22,180848
S 42,181904
S 22,185149
S 42,186069
S 22,189450
S 42,190386
S 22,193751
S 42,194630
S 22,198052
S 42,198904
S 22,202353
S 42,202912
S 22,206654
S 42,207379
S 22,210955
S 42,211558
