Type,Latency
S 22,206
S 42,1166
S 22,4507
S 42,5827
S 22,8808
S 42,9653
S 22,13109
S 42,14021
S 41,17177
S 22,17410
S 42,18176
S 22,21711
S 42,21771
S 42,25676
S 42,25843
S 22,26012
S 22,30313
S 42,31260
S 22,34614
S 42,35662
S 22,38915
S 42,39894
S 22,43216
S 42,44310
S 22,47517
S 42,48625
S 22,51818
S 42,52827
S 22,56119
S 42,56991
S 22,60420
S 42,61371
S 22,64721
S 42,65442
S 42,68428
S 22,69022
S 42,70171
S 22,73323
S 22,77624
S 42,78507
S 22,81925
S 42,82728
S 22,86226
S 42,87298
S 22,90527
S 42,91547
S 22,94828
S 42,95666
S 22,99129
S 42,100064
S 22,103430
S 42,104860
S 22,107731
S 22,112032
S 22,116333
S 42,117468
S 22,120634
S 42,121780
S 22,124935
S 22,129236
S 42,130017
S 22,133537
S 42,134795
S 22,137838
S 42,138586
S 22,142139
S 42,143234
S 22,146440
S 42,147442
S 22,150741
S 22,155042
S 42,156504
S 22,159343
S 42,160125
S 22,163644
S 22,167945
S 42,168767
S 22,172246
S 42,173153
S 22,176547
S 42,178233
S 22,180848
S 42,181638
S 22,185149
S 42,186398
S 22,189450
S 42,191310
S 22,193751
S 22,198052
S 42,198880
S 22,202353
S 42,203591
S 22,206654
S 42,208106
S 22,210955
S 22,215256
S 42,216351
S 22,219557
S 42,220546
S 22,223858
S 42,225474
S 22,228159
S 42,229165
S 22,232460
S 42,233264
S 22,236761
S 42,238147
S 22,241062
S 42,242418
S 22,245363
S 42,246287
S 22,249664
S 42,250854
S 22,253965
S 42,255024
S 22,258266
S 42,258382
S 22,262567
S 42,263626
S 22,266868
S 42,267829
S 22,271169
S 42,272971
S 22,275470
S 42,276660
S 22,279771
S 42,280701
S 22,284072
S 42,285585
S 22,288373
S 42,289359
S 22,292674
S 42,294078
S 22,296975
S 42,297909
S 22,301276
S 42,302627
S 22,305577
S 22,309878
S 42,310762
S 22,314179
S 42,315797
S 22,318480
S 42,319592
S 22,322781
S 42,323537
S 22,327082
S 42,328444
S 22,331383
S 42,332368
S 22,335684
S 42,336781
S 22,339985
S 42,341724
S 22,344286
S 42,345368
S 22,348587
S 42,349823
S 22,352888
S 42,353826
S 22,357189
S 42,358256
