Tipo_Evento,Tiempo_total_Sample,Tiempo_total_Segundos,Tiempo_Relativo_Epoca_Segundos,Tiempo_Relativo_Epoca_sample
S 21,206,4.9045338293420135,0.201171875,206
S 41,1165,27.7368053940944,1.1376953125,1165
S 21,4507,107.30453382934202,0.201171875,206
S 41,5675,135.11276447337826,1.341796875,1374
S 21,8808,209.704533829342,0.201171875,206
S 41,9503,226.25138339920946,0.8798828125,901
S 21,13109,312.104533829342,0.201171875,206
S 41,13777,328.0085561497326,0.853515625,874
S 21,17410,414.50453382934205,0.201171875,206
S 41,18179,432.81320623110906,0.9521484375,975
S 21,21711,516.9045338293421,0.201171875,206
S 41,22471,534.9989304812834,0.943359375,966
S 21,26012,619.3045338293421,0.201171875,206
S 41,26831,638.8036270634736,1.0009765625,1025
S 21,30313,721.704533829342,0.201171875,206
S 41,31116,740.822692397117,0.9853515625,1009
S 21,34614,824.104533829342,0.201171875,206
S 41,35537,846.0797023947919,1.1025390625,1129
S 21,38915,926.5045338293421,0.201171875,206
S 41,39774,946.9559637293653,1.0400390625,1065
S 21,43216,1028.904533829342,0.201171875,206
S 41,43913,1045.499000232504,0.8818359375,903
S 21,47517,1131.304533829342,0.201171875,206
S 41,48522,1155.23199255987,1.1826171875,1211
S 21,51818,1233.704533829342,0.201171875,206
S 41,52631,1253.06077656359,0.9951171875,1019
S 21,56119,1336.104533829342,0.201171875,206
S 41,56913,1355.0084166472914,0.9765625,1000
S 21,60420,1438.5045338293419,0.201171875,206
S 41,61258,1458.4559869797722,1.01953125,1044
S 21,64721,1540.904533829342,0.201171875,206
S 41,65484,1559.0703557312254,0.9462890625,969
S 21,69022,1643.304533829342,0.201171875,206
S 41,69736,1660.303743315508,0.8984375,920
S 21,73323,1745.704533829342,0.201171875,206
S 41,73951,1760.6562194838411,0.814453125,834
S 21,77624,1848.104533829342,0.201171875,206
S 41,78286,1863.8657056498487,0.84765625,868
S 21,81925,1950.504533829342,0.201171875,206
S 41,82860,1972.7654033945594,1.1142578125,1141
S 21,86226,2052.904533829342,0.201171875,206
S 41,86761,2065.6420367356427,0.7236328125,741
S 21,90527,2155.304533829342,0.201171875,206
S 41,91306,2173.851290397582,0.9619140625,985
S 21,94828,2257.704533829342,0.201171875,206
S 41,95458,2272.7038363171355,0.81640625,836
S 21,99129,2360.104533829342,0.201171875,206
S 41,99956,2379.794094396652,1.0087890625,1033
S 21,103430,2462.504533829342,0.201171875,206
S 41,104155,2479.7656358986283,0.9091796875,931
S 21,107731,2564.9045338293417,0.201171875,206
S 41,108468,2582.4513368983958,0.9208984375,943
S 21,112032,2667.304533829342,0.201171875,206
S 41,112754,2684.4942106486865,0.90625,928
S 21,116333,2769.704533829342,0.201171875,206
S 41,116793,2780.656405487096,0.650390625,666
S 21,120634,2872.104533829342,0.201171875,206
S 41,121377,2889.7941873982795,0.9267578125,949
S 21,124935,2974.504533829342,0.201171875,206
S 41,125518,2988.3848407347127,0.7705078125,789
S 21,129236,3076.904533829342,0.201171875,206
S 41,129802,3090.380097651709,0.75390625,772
S 21,133537,3179.3045338293423,0.201171875,206
S 41,134233,3195.875191815857,0.880859375,902
S 21,137838,3281.704533829342,0.201171875,206
S 41,138680,3301.7512206463616,1.0234375,1048
S 21,142139,3384.104533829342,0.201171875,206
S 41,142970,3403.889328063241,1.0126953125,1037
S 21,146440,3486.504533829342,0.201171875,206
S 41,147322,3507.5035573122527,1.0625,1088
S 21,150741,3588.904533829342,0.201171875,206
S 41,151987,3618.569820971867,1.41796875,1452
S 21,155042,3691.3045338293423,0.201171875,206
S 41,155721,3707.4704487328527,0.8642578125,885
S 21,159343,3793.7045338293424,0.201171875,206
S 41,160002,3809.394280399907,0.8447265625,865
S 21,163644,3896.1045338293416,0.201171875,206
S 41,164229,3910.032457568008,0.7724609375,791
S 21,167945,3998.5045338293417,0.201171875,206
S 41,168665,4015.6465938153915,0.904296875,926
S 21,172246,4100.904533829342,0.201171875,206
S 41,172919,4116.927598232969,0.8583984375,879
S 21,176547,4203.304533829342,0.201171875,206
S 41,177317,4221.637014647757,0.953125,976
S 21,180848,4305.704533829342,0.201171875,206
S 41,181472,4320.560985817251,0.810546875,830
S 21,185149,4408.1045338293425,0.201171875,206
S 41,186879,4449.293094629156,1.890625,1936
S 21,189450,4510.504533829342,0.201171875,206
S 41,191284,4554.169169960474,1.9921875,2040
S 21,193751,4612.904533829343,0.201171875,206
S 41,194387,4628.04668681702,0.822265625,842
S 21,198052,4715.304533829341,0.201171875,206
S 41,199085,4739.898628225994,1.2099609375,1239
S 21,202353,4817.704533829342,0.201171875,206
S 41,202999,4833.084770983492,0.83203125,852
S 21,206654,4920.104533829342,0.201171875,206
S 41,207420,4938.341780981167,0.94921875,972
S 21,210955,5022.504533829342,0.201171875,206
S 41,211746,5041.336991397349,0.9736328125,997
S 31,215033,5119.595256916996,4.18359375,4284
S 21,215256,5124.904533829342,0.201171875,206
S 41,216119,5145.451197395955,1.0439453125,1069
S 21,219557,5227.304533829342,0.201171875,206
S 41,220305,5245.113229481516,0.931640625,954
S 21,223858,5329.704533829342,0.201171875,206
S 41,224797,5352.060637061149,1.1181640625,1145
S 21,228159,5432.1045338293425,0.201171875,206
S 41,228935,5450.579865147641,0.958984375,982
S 21,232460,5534.504533829342,0.201171875,206
S 41,233165,5551.289467565683,0.8896484375,911
S 21,236761,5636.904533829342,0.201171875,206
S 41,237641,5657.8559404789585,1.060546875,1086
S 21,241062,5739.304533829342,0.201171875,206
S 41,241672,5753.82766798419,0.796875,816
S 21,245363,5841.704533829342,0.201171875,206
S 41,245960,5855.918158567775,0.7841796875,803
S 21,249664,5944.1045338293425,0.201171875,206
S 41,250321,5959.746663566612,0.8427734375,863
S 21,253965,6046.504533829342,0.201171875,206
S 41,254623,6062.17047198326,0.84375,864
S 21,258266,6148.904533829343,0.201171875,206
S 41,258994,6166.237061148569,0.912109375,934
S 21,262567,6251.304533829342,0.201171875,206
S 41,263144,6265.041990234829,0.7646484375,783
S 21,266868,6353.704533829342,0.201171875,206
S 41,267495,6368.632411067194,0.8134765625,833
S 21,271169,6456.1045338293425,0.201171875,206
S 41,271863,6472.627574982562,0.87890625,900
S 21,275470,6558.504533829343,0.201171875,206
S 41,276471,6582.3367588932815,1.1787109375,1207
S 21,279771,6660.904533829343,0.201171875,206
S 41,280814,6685.736712392468,1.2197265625,1249
S 21,284072,6763.304533829341,0.201171875,206
S 41,284913,6783.327412229714,1.0224609375,1047
S 21,288373,6865.704533829341,0.201171875,206
S 41,289014,6880.965728900256,0.8271484375,847
S 21,292674,6968.104533829342,0.201171875,206
S 41,293374,6984.770425482447,0.884765625,906
S 21,296975,7070.504533829342,0.201171875,206
S 41,297481,7082.551592652871,0.6953125,712
S 21,301276,7172.904533829342,0.201171875,206
S 41,301745,7184.070681236922,0.6591796875,675
S 21,305577,7275.304533829341,0.201171875,206
S 41,306600,7299.66054405952,1.2001953125,1229
S 21,309878,7377.704533829342,0.201171875,206
S 41,310619,7395.346570564985,0.9248046875,947
S 21,314179,7480.1045338293425,0.201171875,206
S 41,314988,7499.3655428970005,0.9912109375,1015
S 21,318480,7582.504533829342,0.201171875,206
S 41,319108,7597.456219483841,0.814453125,834
S 21,322781,7684.904533829342,0.201171875,206
S 41,323719,7707.236828644502,1.1171875,1144
S 21,327082,7787.304533829342,0.201171875,206
S 41,327695,7801.899093234131,0.7998046875,819
S 21,331383,7889.704533829343,0.201171875,206
S 41,331990,7904.156242734249,0.7939453125,813
S 21,335684,7992.1045338293425,0.201171875,206
S 41,336300,8006.770518484073,0.802734375,822
S 21,339985,8094.504533829342,0.201171875,206
S 41,341032,8119.431946059056,1.2236328125,1253
S 21,344286,8196.904533829344,0.201171875,206
S 41,344771,8208.45161590328,0.6748046875,691
S 21,348587,8299.304533829341,0.201171875,206
S 41,349526,8321.660637061148,1.1181640625,1145
S 21,352888,8401.704533829341,0.201171875,206
S 41,353613,8418.965635898629,0.9091796875,931
S 21,357189,8504.10453382934,0.201171875,206
S 41,357853,8519.913322483142,0.849609375,870
S 21,361490,8606.504533829342,0.201171875,206
S 41,362437,8629.051104394326,1.1259765625,1153
S 21,365791,8708.904533829342,0.201171875,206
S 41,366340,8721.975354568705,0.7373046875,755
S 21,370092,8811.304533829341,0.201171875,206
S 41,370683,8825.37530806789,0.7783203125,797
S 21,374393,8913.704533829341,0.201171875,206
S 41,374932,8926.537270402232,0.7275390625,745
S 21,378694,9016.104533829342,0.201171875,206
S 41,379435,9033.746570564985,0.9248046875,947
S 21,382995,9118.504533829342,0.201171875,206
S 41,383684,9134.908532899326,0.8740234375,895
S 21,387296,9220.904533829342,0.201171875,206
S 41,388004,9237.760892815624,0.892578125,914
S 21,391597,9323.304533829341,0.201171875,206
S 41,392477,9344.255940478957,1.060546875,1086
S 21,395898,9425.704533829343,0.201171875,206
S 41,396625,9443.013252731924,0.9111328125,933
S 21,400199,9528.104533829342,0.201171875,206
S 41,400829,9543.103836317136,0.81640625,836
S 21,404500,9630.504533829342,0.201171875,206
S 41,405984,9665.836224133922,1.650390625,1690
S 21,408801,9732.904533829342,0.201171875,206
S 41,409281,9744.332573820042,0.669921875,686
S 21,413102,9835.304533829343,0.201171875,206
S 41,413924,9854.875052313417,1.00390625,1028
S 21,417403,9937.704533829341,0.201171875,206
S 41,418074,9953.679981399675,0.8564453125,877
S 21,421704,10040.10453382934,0.201171875,206
S 41,422238,10052.818228318994,0.72265625,740
S 21,426005,10142.504533829342,0.201171875,206
S 41,427391,10175.502999302487,1.5546875,1592
