Tipo_Evento,Tiempo_total_Sample,Tiempo_total_Segundos,Tiempo_Relativo_Epoca_Segundos,Tiempo_Relativo_Epoca_sample
S 11,206,4.9045338293420135,0.201171875,206
S 31,1069,25.451197395954427,1.0439453125,1069
S  1,3807,90.63864217623808,3.7177734375,3807
S 11,4507,107.30453382934202,0.201171875,206
S 31,5072,120.75628923506162,0.7529296875,771
S  1,8108,193.03864217623808,3.7177734375,3807
S 11,8808,209.704533829342,0.201171875,206
S 31,9414,224.13243431760054,0.79296875,812
S  1,12409,295.4386421762381,3.7177734375,3807
S 11,13109,312.104533829342,0.201171875,206
S 31,13718,326.60385956754243,0.7958984375,815
S  1,16711,397.8624505928854,3.71875,3808
S 11,17410,414.50453382934205,0.201171875,206
S 31,17933,426.95633573587537,0.7119140625,729
S  1,21011,500.2386421762381,3.7177734375,3807
S 11,21711,516.9045338293421,0.201171875,206
S 31,22495,535.5703324808184,0.966796875,990
S  1,25329,603.043385259242,3.734375,3824
S 11,26012,619.3045338293421,0.201171875,206
S 31,26777,637.5179725645199,0.9482421875,971
S  1,29614,705.0624505928854,3.71875,3808
S 11,30313,721.704533829342,0.201171875,206
S 31,30721,731.4183678214368,0.599609375,614
S  1,33914,807.438642176238,3.7177734375,3807
S 11,34614,824.104533829342,0.201171875,206
S 31,35001,833.3183910718437,0.5791015625,593
S  1,38215,909.8386421762381,3.7177734375,3807
S 11,38915,926.5045338293421,0.201171875,206
S 31,39581,942.360939316438,0.8515625,872
S  1,42516,1012.238642176238,3.7177734375,3807
S 11,43216,1028.904533829342,0.201171875,206
S 31,44591,1061.6411067193676,1.5439453125,1581
S  1,46818,1114.6624505928853,3.71875,3808
S 11,47517,1131.304533829342,0.201171875,206
S 31,48407,1152.4940246454314,1.0703125,1096
S  1,51118,1217.038642176238,3.7177734375,3807
S 11,51818,1233.704533829342,0.201171875,206
S 31,53308,1269.179074633806,1.65625,1696
S  1,55419,1319.438642176238,3.7177734375,3807
S 11,56119,1336.104533829342,0.201171875,206
S 31,56812,1352.603766565915,0.8779296875,899
