Tipo_Evento,Tiempo_total_Sample,Tiempo_total_Segundos,Tiempo_Relativo_Epoca_Segundos,Tiempo_Relativo_Epoca_sample
S 21,206,4.9045338293420135,0.201171875,206
S 41,1015,24.165542897000698,0.9912109375,1015
S 21,4507,107.30453382934202,0.201171875,206
S 41,5755,137.0174378051616,1.419921875,1454
S 21,8808,209.704533829342,0.201171875,206
S 41,9743,231.96540339455942,1.1142578125,1141
S 21,13109,312.104533829342,0.201171875,206
S 21,17410,414.50453382934205,0.201171875,206
S 41,18470,439.74145547547084,1.236328125,1266
S 21,21711,516.9045338293421,0.201171875,206
S 41,22796,542.7366658916532,1.2607421875,1291
S 21,26012,619.3045338293421,0.201171875,206
S 41,27435,653.1839107184376,1.5908203125,1629
S 21,30313,721.704533829342,0.201171875,206
S 41,31985,761.5122064636131,1.833984375,1878
S 21,34614,824.104533829342,0.201171875,206
S 41,35719,850.4128342245989,1.2802734375,1311
S 21,38915,926.5045338293421,0.201171875,206
S 41,40197,957.0269239711696,1.453125,1488
S 21,43216,1028.904533829342,0.201171875,206
S 41,44140,1050.9035108114392,1.103515625,1130
S 21,47517,1131.304533829342,0.201171875,206
S 41,49198,1171.3264822134388,1.8427734375,1887
S 21,51818,1233.704533829342,0.201171875,206
S 41,52859,1258.4890955591723,1.2177734375,1247
S 21,56119,1336.104533829342,0.201171875,206
S 41,57328,1364.8889095559173,1.3818359375,1415
S 21,60420,1438.5045338293419,0.201171875,206
S 41,61785,1471.0030225528947,1.5341796875,1571
S 21,64721,1540.904533829342,0.201171875,206
S 41,65771,1565.903371308998,1.2265625,1256
S 21,69022,1643.304533829342,0.201171875,206
S 41,70527,1679.1362008835154,1.6708984375,1711
S 21,73323,1745.704533829342,0.201171875,206
S 41,74413,1771.6557079748895,1.265625,1296
S 21,77624,1848.104533829342,0.201171875,206
S 41,79174,1885.0075796326437,1.71484375,1756
S 21,81925,1950.504533829342,0.201171875,206
S 41,83533,1988.7884677981865,1.771484375,1814
S 21,86226,2052.904533829342,0.201171875,206
S 41,87138,2074.617809811672,1.091796875,1118
S 21,90527,2155.304533829342,0.201171875,206
S 41,91364,2175.2321785631248,1.0185546875,1043
S 21,94828,2257.704533829342,0.201171875,206
S 41,95708,2278.6559404789587,1.060546875,1086
S 21,99129,2360.104533829342,0.201171875,206
S 41,100028,2381.508300395257,1.0791015625,1105
S 21,103430,2462.504533829342,0.201171875,206
S 41,104270,2482.5036038130665,1.021484375,1046
S 21,107731,2564.9045338293417,0.201171875,206
S 41,108826,2590.974750058126,1.2705078125,1301
S 21,112032,2667.304533829342,0.201171875,206
S 41,112951,2689.184468728203,1.0986328125,1125
S 21,116333,2769.704533829342,0.201171875,206
S 41,117327,2793.3700999767498,1.171875,1200
S 21,120634,2872.104533829342,0.201171875,206
S 41,121633,2895.889142059986,1.1767578125,1205
S 21,124935,2974.504533829342,0.201171875,206
S 41,125856,2996.432085561497,1.1005859375,1127
S 21,129236,3076.904533829342,0.201171875,206
S 41,130081,3097.0226458963034,1.0263671875,1051
S 21,133537,3179.3045338293423,0.201171875,206
S 41,134417,3200.2559404789586,1.060546875,1086
S 21,137838,3281.704533829342,0.201171875,206
S 41,138683,3301.8226458963036,1.0263671875,1051
S 21,142139,3384.104533829342,0.201171875,206
S 41,143466,3415.6983027202978,1.4970703125,1533
S 21,146440,3486.504533829342,0.201171875,206
S 41,147262,3506.075052313415,1.00390625,1028
S 21,150741,3588.904533829342,0.201171875,206
S 41,151892,3616.308021390374,1.3251953125,1357
S 21,155042,3691.3045338293423,0.201171875,206
S 41,157551,3751.0398511973963,2.6513671875,2715
S 21,159343,3793.7045338293424,0.201171875,206
S 41,161746,3850.9161590327826,2.5478515625,2609
S 21,163644,3896.1045338293416,0.201171875,206
S 41,164603,3918.936805394095,1.1376953125,1165
S 21,167945,3998.5045338293417,0.201171875,206
S 41,169036,4024.479516391537,1.2666015625,1297
S 21,172246,4100.904533829342,0.201171875,206
S 41,173666,4134.712485468495,1.587890625,1626
S 21,176547,4203.304533829342,0.201171875,206
S 41,177522,4226.517740060451,1.1533203125,1181
S 21,180848,4305.704533829342,0.201171875,206
S 41,181704,4326.084538479424,1.037109375,1062
S 21,185149,4408.1045338293425,0.201171875,206
S 41,186109,4430.960613810742,1.138671875,1166
S 21,189450,4510.504533829342,0.201171875,206
S 41,190620,4538.360381306673,1.34375,1376
S 21,193751,4612.904533829343,0.201171875,206
S 41,195038,4643.545966054407,1.4580078125,1493
S 21,198052,4715.304533829341,0.201171875,206
