Tipo_Evento,Tiempo_total_Sample,Tiempo_total_Segundos,Tiempo_Relativo_Epoca_Segundos,Tiempo_Relativo_Epoca_sample
S 21,206,4.9045338293420135,0.201171875,206
S 41,933,22.213252731922807,0.9111328125,933
S 21,4507,107.30453382934202,0.201171875,206
S 41,5545,132.01767030923043,1.21484375,1244
S 21,8808,209.704533829342,0.201171875,206
S 41,9850,234.5129039758196,1.21875,1248
S 21,13109,312.104533829342,0.201171875,206
S 41,14321,340.9603348058591,1.384765625,1418
S 21,17410,414.50453382934205,0.201171875,206
S 41,18249,434.47979539641943,1.0205078125,1045
S 21,21711,516.9045338293421,0.201171875,206
S 41,22816,543.212834224599,1.2802734375,1311
S 31,25498,607.0670076726342,3.8994140625,3993
S 21,26012,619.3045338293421,0.201171875,206
S 41,26868,639.6845384794234,1.037109375,1062
S 21,30313,721.704533829342,0.201171875,206
S 41,30850,734.4896535689375,0.7255859375,743
S 21,34614,824.104533829342,0.201171875,206
S 41,35150,836.86584515229,0.724609375,742
S 21,38915,926.5045338293421,0.201171875,206
S 41,39805,947.6940246454313,1.0703125,1096
S 21,43216,1028.904533829342,0.201171875,206
S 41,44169,1051.5939548942108,1.1318359375,1159
S 21,47517,1131.304533829342,0.201171875,206
S 41,48944,1165.2791443850267,1.5947265625,1633
S 21,51818,1233.704533829342,0.201171875,206
S 41,52570,1251.608463148105,0.935546875,958
S 21,56119,1336.104533829342,0.201171875,206
S 41,57170,1361.1271797256452,1.2275390625,1257
S 21,60420,1438.5045338293419,0.201171875,206
S 41,61359,1460.8606370611487,1.1181640625,1145
S 21,64721,1540.904533829342,0.201171875,206
S 41,65851,1567.8080446407812,1.3046875,1336
S 21,69022,1643.304533829342,0.201171875,206
S 41,70028,1667.2558009765173,1.18359375,1212
S 21,73323,1745.704533829342,0.201171875,206
S 41,74031,1762.5608928156244,0.892578125,914
S 21,77624,1848.104533829342,0.201171875,206
S 41,78564,1870.4844454777958,1.119140625,1146
S 21,81925,1950.504533829342,0.201171875,206
S 41,82825,1971.932108811904,1.080078125,1106
S 21,86226,2052.904533829342,0.201171875,206
S 41,87131,2074.451150895141,1.0849609375,1111
S 21,90527,2155.304533829342,0.201171875,206
S 41,91570,2180.1367123924665,1.2197265625,1249
S 42,94563,2251.39530341781,4.142578125,4242
S 21,94828,2257.704533829342,0.201171875,206
S 41,95589,2275.822738897931,0.9443359375,967
S 21,99129,2360.104533829342,0.201171875,206
S 41,100668,2396.7456870495234,1.7041015625,1745
S 21,103430,2462.504533829342,0.201171875,206
S 41,103436,2462.6473843292256,0.20703125,212
S 21,107731,2564.9045338293417,0.201171875,206
S 41,108742,2588.9748430597538,1.1884765625,1217
S 21,112032,2667.304533829342,0.201171875,206
S 41,112874,2687.351220646361,1.0234375,1048
S 21,116333,2769.704533829342,0.201171875,206
