Tipo_Evento,Tiempo_total_Sample,Tiempo_total_Segundos,Tiempo_Relativo_Epoca_Segundos,Tiempo_Relativo_Epoca_sample
S 41,140,3.333178330620786,0.13671875,140
S 21,206,4.9045338293420135,0.201171875,206
S 21,4507,107.30453382934202,0.201171875,206
S 41,5679,135.20799813996746,1.345703125,1378
S 21,8808,209.704533829342,0.201171875,206
S 41,10014,238.41748430597534,1.37890625,1412
S 21,13109,312.104533829342,0.201171875,206
S 41,14133,336.48435247616834,1.201171875,1230
S 21,17410,414.50453382934205,0.201171875,206
S 41,18261,434.7654963961869,1.0322265625,1057
S 21,21711,516.9045338293421,0.201171875,206
S 41,22515,536.0465008137642,0.986328125,1010
S 21,26012,619.3045338293421,0.201171875,206
S 41,27052,644.065287142525,1.216796875,1246
S 21,30313,721.704533829342,0.201171875,206
S 41,31238,743.7273192280866,1.1044921875,1131
S 21,34614,824.104533829342,0.201171875,206
S 41,36601,871.4118577075099,2.1416015625,2193
S 21,38915,926.5045338293421,0.201171875,206
S 41,40579,966.1217391304348,1.826171875,1870
S 21,43216,1028.904533829342,0.201171875,206
S 41,43411,1033.547175075564,0.3916015625,401
S 21,47517,1131.304533829342,0.201171875,206
S 41,47574,1132.6616135782376,0.2568359375,263
S 21,51818,1233.704533829342,0.201171875,206
S 41,52682,1254.2750058126016,1.044921875,1070
S 21,56119,1336.104533829342,0.201171875,206
S 41,57471,1368.2935131364798,1.521484375,1558
S 21,60420,1438.5045338293419,0.201171875,206
S 41,61148,1455.8370611485702,0.912109375,934
S 21,64721,1540.904533829342,0.201171875,206
S 41,65455,1558.3799116484538,0.91796875,940
S 21,69022,1643.304533829342,0.201171875,206
S 41,69690,1659.2085561497329,0.853515625,874
S 21,73323,1745.704533829342,0.201171875,206
S 41,74123,1764.7512671471752,0.982421875,1006
S 41,77137,1836.509834922111,3.92578125,4020
S 21,77624,1848.104533829342,0.201171875,206
S 41,79736,1898.3879097884212,2.263671875,2318
S 21,81925,1950.504533829342,0.201171875,206
S 41,83021,1976.5985584747732,1.271484375,1302
S 21,86226,2052.904533829342,0.201171875,206
S 41,86924,2069.5228086491516,0.8828125,904
S 21,90527,2155.304533829342,0.201171875,206
S 41,91535,2179.303417809812,1.185546875,1214
S 21,94828,2257.704533829342,0.201171875,206
S 41,95696,2278.370239479191,1.048828125,1074
S 21,99129,2360.104533829342,0.201171875,206
S 41,100047,2381.960660311556,1.09765625,1124
S 21,103430,2462.504533829342,0.201171875,206
S 41,104428,2486.2653336433386,1.17578125,1204
S 21,107731,2564.9045338293417,0.201171875,206
S 41,108816,2590.736665891653,1.2607421875,1291
S 21,112032,2667.304533829342,0.201171875,206
S 41,112931,2688.7083003952566,1.0791015625,1105
S 21,116333,2769.704533829342,0.201171875,206
S 41,117542,2798.4889095559174,1.3818359375,1415
S 21,120634,2872.104533829342,0.201171875,206
S 21,124935,2974.504533829342,0.201171875,206
S 41,125841,2996.074959311788,1.0859375,1112
S 21,129236,3076.904533829342,0.201171875,206
S 41,130162,3098.951127644734,1.10546875,1132
S 21,133537,3179.3045338293423,0.201171875,206
S 41,134998,3214.088630551035,1.6279296875,1667
S 21,137838,3281.704533829342,0.201171875,206
S 41,138816,3304.9891653103928,1.15625,1184
S 21,142139,3384.104533829342,0.201171875,206
S 41,143751,3422.4837014647755,1.775390625,1818
S 21,146440,3486.504533829342,0.201171875,206
S 41,147843,3519.9077423854915,1.5712890625,1609
S 21,150741,3588.904533829342,0.201171875,206
S 41,152231,3624.3790746338063,1.65625,1696
S 21,155042,3691.3045338293423,0.201171875,206
S 41,156213,3719.1841897233203,1.3447265625,1377
S 21,159343,3793.7045338293424,0.201171875,206
S 41,160686,3825.6792373866547,1.5126953125,1549
S 21,163644,3896.1045338293416,0.201171875,206
S 41,164991,3928.1744710532435,1.5166015625,1553
S 21,167945,3998.5045338293417,0.201171875,206
S 41,168922,4021.765356893746,1.1552734375,1183
S 21,172246,4100.904533829342,0.201171875,206
S 41,173233,4124.403441060218,1.1650390625,1193
S 21,176547,4203.304533829342,0.201171875,206
S 41,177531,4226.732015810277,1.162109375,1190
S 21,180848,4305.704533829342,0.201171875,206
S 41,181805,4328.489188560799,1.1357421875,1163
S 42,184784,4399.414461753081,4.044921875,4142
S 21,185149,4408.1045338293425,0.201171875,206
S 41,186070,4430.032085561497,1.1005859375,1127
S 21,189450,4510.504533829342,0.201171875,206
S 41,190208,4528.5513136479885,0.94140625,964
S 21,193751,4612.904533829343,0.201171875,206
S 41,194513,4631.046547314579,0.9453125,968
S 21,198052,4715.304533829341,0.201171875,206
S 41,199074,4739.636735642874,1.19921875,1228
S 21,202353,4817.704533829342,0.201171875,206
S 41,203148,4836.632225063939,0.9775390625,1001
S 21,206654,4920.104533829342,0.201171875,206
S 21,210955,5022.504533829342,0.201171875,206
S 41,211873,5044.360660311556,1.09765625,1124
S 21,215256,5124.904533829342,0.201171875,206
S 21,219557,5227.304533829342,0.201171875,206
S 41,220589,5251.874819809347,1.208984375,1238
S 21,223858,5329.704533829342,0.201171875,206
S 41,225063,5358.393675889328,1.3779296875,1411
S 21,228159,5432.1045338293425,0.201171875,206
S 41,229134,5455.317740060451,1.1533203125,1181
S 21,232460,5534.504533829342,0.201171875,206
S 41,233674,5563.407951639154,1.38671875,1420
S 21,236761,5636.904533829342,0.201171875,206
S 41,237904,5664.117554057196,1.3173828125,1349
S 21,241062,5739.304533829342,0.201171875,206
S 41,242093,5763.851011392699,1.2080078125,1237
S 21,245363,5841.704533829342,0.201171875,206
S 41,246447,5867.512857475005,1.259765625,1290
S 21,249664,5944.1045338293425,0.201171875,206
S 41,250920,5974.00790513834,1.427734375,1462
S 21,253965,6046.504533829342,0.201171875,206
S 41,254936,6069.622506393862,1.1494140625,1177
S 21,258266,6148.904533829343,0.201171875,206
S 41,259325,6174.117647058823,1.2353515625,1265
S 21,262567,6251.304533829342,0.201171875,206
S 41,263428,6271.80358056266,1.0419921875,1067
S 21,266868,6353.704533829342,0.201171875,206
S 41,267867,6377.489142059986,1.1767578125,1205
S 21,271169,6456.1045338293425,0.201171875,206
S 41,271985,6475.532201813532,0.998046875,1022
S 21,275470,6558.504533829343,0.201171875,206
S 41,276671,6587.098442222739,1.3740234375,1407
S 21,279771,6660.904533829343,0.201171875,206
S 41,280137,6669.618414322251,0.55859375,572
S 21,284072,6763.304533829341,0.201171875,206
S 41,285383,6794.517368053941,1.4814453125,1517
S 21,288373,6865.704533829341,0.201171875,206
S 41,289305,6887.893978144618,1.111328125,1138
S 21,292674,6968.104533829342,0.201171875,206
S 41,294077,7001.507742385492,1.5712890625,1609
S 21,296975,7070.504533829342,0.201171875,206
S 41,297857,7091.503557312252,1.0625,1088
S 21,301276,7172.904533829342,0.201171875,206
S 41,302200,7194.9035108114385,1.103515625,1130
S 21,305577,7275.304533829341,0.201171875,206
S 41,306615,7300.017670309231,1.21484375,1244
S 21,309878,7377.704533829342,0.201171875,206
S 41,310852,7400.893931643803,1.15234375,1180
S 21,314179,7480.1045338293425,0.201171875,206
S 41,315262,7505.889049058358,1.2587890625,1289
S 21,318480,7582.504533829342,0.201171875,206
S 41,319784,7613.550709137409,1.474609375,1510
S 21,322781,7684.904533829342,0.201171875,206
S 41,323763,7708.284398976983,1.16015625,1188
S 21,327082,7787.304533829342,0.201171875,206
S 41,328550,7822.2552894675655,1.634765625,1674
S 21,331383,7889.704533829343,0.201171875,206
S 41,332357,7912.893931643804,1.15234375,1180
S 21,335684,7992.1045338293425,0.201171875,206
S 41,336800,8018.67472680772,1.291015625,1322
S 21,339985,8094.504533829342,0.201171875,206
S 41,340773,8113.265566147407,0.970703125,994
S 21,344286,8196.904533829344,0.201171875,206
